sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_insol,pl_eqt,ttv_flag,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,hostname
,,1.914158508,,,13.63,,1730.47,1646.0,,6289.0,1.118,,,4.407,,14.446,,,K01132.01
,,3.6714717,,,10.678,,324.114,1182.0,,5618.0,1.54,,,4.06,,,,,1199.01
,,0.566810643,,,0.52,,3605.07,1976.0,,5776.0,0.758,,,4.598,,14.844,,,K04518.01
,,14.797219157,,,47.71,,90.8,787.0,,6343.0,0.931,,,4.495,,14.185,,,K06831.01
,,62.127677128,,,38.61,,6.15,402.0,,5344.0,0.807,,,4.494,,14.822,,,K03449.01
,,215.15218,,,1.36,,1.61,287.0,,5914.0,0.828,,,4.563,,15.075,,,K02349.01
,,18.93055119,,,4.41,,81.42,766.0,,5015.0,1.643,,,3.987,,14.417,,,K01914.01
,,4.0460644,,,18.2851,,6586.47,2509.0,,6404.0,1.81,,,4.03,,,,,4536.01
,,49.3567907,,,1.91,,38.86,637.0,,5862.0,1.67,,,4.05,,11.565,,,K00285.03
1.0,1.0,13.102,0.088,,2.66,1652.7077164,,447.0,0.0,3746.0,0.554,0.548,,4.691,120.311,14.794,10.734,13.9468,K2-416
,,5.49826,,,16.2801,,232.345,,,6362.6,1.34,,,,,,,,2017.01
,,1.7690121,,,10.5045599,,313.4011658,1073.1116296,,4683.0,0.701795,,,4.62,,,,,2206.01
,,6.98141327,,,1.42,,865.81,1384.0,,6054.0,2.163,,,3.923,,11.752,,,K02545.01
,,326.370361,,,22.6,,33.84,615.0,,5188.0,9.343,,,2.929,,10.963,,,K05313.01
,,17.42393582,,,3.29,,64.13,722.0,,6018.0,0.969,,,4.46,,15.601,,,K01724.01
,,70.61977122,,,,,,,,,,,,,,15.341,,,K05808.01
,,7.56126152,,,1.2,,149.17,891.0,,5853.0,0.895,,,4.529,,14.64,,,K02649.01
,,1.241483276,,,27.25,,2761.35,1847.0,,6140.0,1.053,,,4.394,,13.482,,,K03887.01
,,22.78078241,,,2.17,,2.73,328.0,,3731.0,0.498,,,4.75,,15.801,,,K00952.03
1.0,1.0,1.915291,0.0312,,13.85,,,1746.0,0.0,5599.0,1.56,1.1,0.38,4.1,638.7,13.256,11.479,13.0983,HATS-9
,,4.8170684,,,24.4342674,,952.2769628,1416.8065929,,6380.0,1.44956,,,4.24852,,,,,184.01
,,22.8030252,,,1.29,,119.6,843.0,,6063.0,1.613,,,4.061,,11.39,,,K00274.02
,,96.231257,,,29.26,,204.8,965.0,,4895.0,9.529,,,2.674,,13.648,,,K07792.01
,,30.8278245,,,2.42,,27.66,585.0,,5982.0,0.96,,,4.493,,15.765,,,K03279.01
1.0,1.0,13.115365,,,2.53,,,,0.0,3748.0,0.552,0.552,0.005,4.695,121.63,14.622,10.75,13.8429,K2-404
,,4.155,,,11.0678,,534.715,1339.0,,6270.0,1.57,,,4.14,,,,,387.01
,,40.069674617,,,27.38,,28.2,588.0,,5911.0,1.207,,,4.321,,14.458,,,K07265.01
,,2.489550708,,,36.91,,636.43,1281.0,,6018.0,0.794,,,4.569,,13.669,,,K07419.01
,,43.1312147,,,2.39,,22.21,554.0,,5839.0,1.067,,,4.327,,15.381,,,K01052.04
,,2.790643481,,,0.99,,104.74,816.0,,4353.0,0.603,,,4.681,,13.435,,,K04097.01
,,15.3573522,,,13.3280613,,47.2404772,668.6491835,,5462.0,0.915391,,,4.49258,,,,,7067.01
,,5.2439542,,,0.81,,86.51,778.0,,4920.0,0.691,,,4.636,,15.924,,,K06691.01
,,4.221626193,,,2.87,,453.2,1176.0,,6123.0,0.987,,,4.472,,14.708,,,K00532.01
,,1.759208679,,,66.06,,1121.32,1475.0,,5721.0,0.961,,,4.453,,15.409,,,K06248.01
,,1.39862757,,,2.39,,38048.23,3562.0,,7872.0,3.367,,,3.732,,11.915,,,K04047.01
,,2.46050095,,,1.03,,208.54,969.0,,4811.0,0.634,,,4.626,,15.245,,,K03113.01
,,242.484764,,,1.58,,1.51,283.0,,6068.0,0.829,,,4.568,,14.96,,,K05788.01
,,27.2672016,,,1.5781136,,1.6051398,287.0767134,,3546.0,0.460014,,,4.77262,,,,,2285.01
,,18.39629744,,,2.47,,27.09,582.0,,5316.0,0.804,,,4.57,,13.704,,,K00704.01
,,8.5893644,,,1.21,,93.09,792.0,,5602.0,0.817,,,4.571,,15.687,,,K07277.01
,,0.962864171,,,1.52,,1828.67,1666.0,,5704.0,0.804,,,4.575,,15.81,,,K02716.01
,,16.145671932,,,2.48,,20.98,546.0,,4900.0,0.741,,,4.602,,11.492,,,K00082.01
,,289.76961138,,,,,,,,,,,,,,12.714,,,K05161.01
,,7.4539297,,,,,520.65,,,,,,,,,13.272,,,K07608.01
,,6.238535444,,,2.53,,465.61,1185.0,,6267.0,1.258,,,4.28,,10.734,,,K00244.02
,,0.4900589,,,1.4741529,,2120.4474663,1730.7192689,,4891.0,0.726632,,,4.62,,,,,431.02
,,7.72513619,,,1.71,,26.91,581.0,,4245.0,0.637,,,4.641,,15.673,,,K02174.03
,,8.45744892,,,1.02,,220.05,982.0,,5903.0,1.137,,,4.304,,11.529,,,K00282.02
,,1.75147897,,,1.8,,7086.5,2340.0,,6823.0,2.037,,,4.04,,12.655,,,K01957.02
,,1.680425996,,,102.31,,5564.77,2203.0,,6844.0,1.629,,,4.145,,14.11,,,K06196.01
1.0,2.0,16.43445,,,2.213,,,,0.0,5789.0,0.907,0.731,-0.292,4.386,359.439,12.783,11.287,12.6473,K2-374
,,48.8882668,,,2.96,,5.23,386.0,,4821.0,0.788,,,4.529,,14.985,,,K02535.01
,,49.5740154,,,5.01,,1.46,280.0,,4040.0,0.527,,,4.714,,13.534,,,K03833.01
,,1.332560553,,,0.4,,574.99,1249.0,,4947.0,0.714,,,4.621,,12.912,,,K02867.01
,,0.925589891,,,50.6,,460202.18,6637.0,,4094.0,24.488,,,1.627,,10.795,,,K00031.01
,,5.7998189,,,2.6346124,,3.7367095,354.6027378,,3179.0,0.240233,,,4.99978,,,,,2120.01
,,4.030466786,,,4.48,,209.11,970.0,,5234.0,0.854,,,4.542,,14.924,,,K00433.01
,,0.93374232,,,18.29,,1706.25,1638.0,,5553.0,0.806,,,4.577,,15.239,,,K02391.01
,,4.7369669,,,2.93924,,307.522,1166.0,,5069.2,0.79,,,4.46,,,,,5068.01
,,3.855599139,,,3.57,,425.74,1158.0,,5936.0,0.965,,,4.501,,15.054,,,K00932.01
,,379.08202,,,23.99,,0.97,253.0,,5982.0,0.96,,,4.493,,15.813,,,K04100.01
,,10.043245,,,16.682435,,36.1287428,625.2921291,,5076.0,0.670549,,,4.71,,,,,550.02
,,0.895276162,,,172.25,,13121.22,2731.0,,5242.0,2.55,,,3.631,,16.397,,,K03607.01
,,1.33254024,,,0.59,,1777.13,1658.0,,6071.0,0.887,,,4.511,,14.282,,,K07972.01
,,0.84986054,,,67.45,,6185.9,2260.0,,5164.0,1.676,,,3.949,,14.319,,,K07331.01
1.0,1.0,8.269648,,,2.12381238,,,,0.0,5704.0,0.974398,0.999987,0.11,4.41,403.964,12.99,11.298,12.8302,K2-215
,,19.44639139,,,3.24,,50.73,681.0,,5815.0,0.954,,,4.421,,14.248,,,K00459.01
,,11.37936986,,,3.95,,99.68,806.0,,5714.0,1.015,,,4.428,,15.367,,,K00787.02
1.0,1.0,14.893291,0.1206,0.478,9.494023,100.11645,,804.0,0.0,5695.0,1.07,1.056,0.2,4.398,158.335,11.41,9.188,11.067,K2-287
,,1.0681394,,,19.5184,,7148.75,2561.0,,7248.0,2.23,,,3.95,,,,,4207.01
,,7.81153999,,,23.56,,62.96,718.0,,5150.0,0.71,,,4.628,,15.611,,,K01987.01
,,9.286964466,,,2.1,,79.68,762.0,,5546.0,0.81,,,4.575,,11.898,,,K00084.01
,,3.578757,,,12.1416042,,445.8323379,1171.9596007,,5482.59,1.06062,,,4.36922,,,,,4475.01
,,2.83401711,,,0.93,,859.57,1381.0,,6247.0,1.002,,,4.458,,15.036,,,K06853.01
,,0.603086711,,,36.0,,8675.9,2459.0,,6353.0,1.134,,,4.397,,13.989,,,K07747.01
,,5.40346248,,,108.46,,1398.38,1559.0,,6350.0,1.984,,,3.921,,13.615,,,K07098.01
,,94.289223,,,2.11,,4.39,369.0,,5632.0,0.904,,,4.537,,14.183,,,K02408.01
,,16.486796364,,,46.92,,290.46,1053.0,,6020.0,2.097,,,3.86,,13.645,,,K06712.01
,,2.7568649,,,,,,,,,,,,,,,,,3572.01
,,1.2391534,,,0.9654706,,21.6623126,550.2321395,,3042.0,0.197117,,,4.438,,,,,540.01
,,14.3641542,,,0.98,,94.33,795.0,,5925.0,1.033,,,4.364,,14.016,,,K05053.01
,,13.9028391,,,2.6136848,,77.4841883,756.6987586,,5876.0,0.983215,,,4.48,,,,,1097.02
,,1.752567456,,,26.56,,1202.54,1502.0,,5739.0,0.996,,,4.433,,14.449,,,K01354.01
,,0.660655454,,,16.81,,9210.84,2497.0,,6520.0,1.215,,,4.375,,15.666,,,K07994.01
2.0,1.0,2.36902,0.03359,0.16,1.70824866,7.3418362,,1366.0,0.0,5420.0,0.92,0.901,0.033,4.465,138.671,11.187,9.259,10.9277,K2-265
,,2.4919771,,,2.2187585,,39.6452664,639.9817426,,3948.0,0.482388,,,4.68962,,,,,1201.01
1.0,2.0,16.19697,,,1.99,,14.3,495.0,0.0,4455.0,0.696,0.67,-0.1,4.57,112.467,12.391,9.688,12.0433,K2-62
,,2.17813954,,,1.0,,4372.75,2073.0,,6511.0,1.851,,,4.003,,13.422,,,K07996.01
,,0.782068488,,,21.02,,343029.57,6169.0,,4475.0,20.237,,,2.113,,11.378,,,K05157.01
,,3.2235985,,,5.51341,,2064.8,,,8904.0,2.17,,,4.09,,,,,1038.01
,,9.40527028,,,25.39,,182.72,938.0,,6347.0,0.996,,,4.464,,14.685,,,K02089.01
,,1.88984957,,,73.04,,526.5,1221.0,,5328.0,0.716,,,4.571,,13.035,,,K06696.01
1.0,0.0,1.288312,,,,,,,0.0,3412.0,0.57612,0.568153,,4.67151,268.067,17.23,12.337,15.9032,EPIC 251292508
,,9.296746368,,,400.4,,1370.16,1552.0,,6461.0,2.884,,,3.67,,13.211,,,K07309.01
,,1.340649911,,,127.25,,3824.87,2004.0,,6332.0,1.222,,,4.26,,14.558,,,K05742.01
